T204,D111,M20
T205,D113,D112
T206,D113,D114
T207,D114,D115
T208,D115,D116
T209,D114,M60
T210,D116,M45
T211,D116,M72
T212,D126,M77
T213,D106,M47
T214,D112,D117
T215,D117,D118
T216,D117,M30
T217,D117,M49
T218,D118,D119
T219,D80,D120
T220,D119,M31
T221,D123,M28
T222,D120,D121
T223,D121,M59
T224,D80,M29
T225,D122,D80
T226,D118,D123
D124,3.8457,-9.43586
D125,3.06169,-12.9079
D126,10.4359,-15.8379
T227,D68,D124
T228,D124,D125
T229,D125,D106
T230,D126,D113
D127,-3.31398,2.68327
T231,D25,D127
R0,0,0
