D79,0.8751209492174397,11.234623524861911
D80,0.6785521981632989,13.151168847639784
D81,0.33455688381855353,14.330581353964627
D82,0.03970375723734065,16.197984488978967
D83,-0.25514936934386867,17.96710324846623
D84,-0.5899161038269263,19.80128349597846
D85,2.5060417252757894,14.248216278698987
D86,5.14942232546138,15.112608477922713
D87,7.561937227076417,13.858106904357864
D88,7.031293885028855,17.83793196971459
D89,9.419188924242889,20.54421301415716
D90,7.986451900714467,23.35662272700925
D91,-1.0159772855746088,22.289971930869456
D92,-1.3878890540009863,25.579960651564342
D93,-1.9365785955749626,29.989664502603787
D94,10.162089603109479,-24.24208505465717
D95,13.929657331647178,-24.135956386247656
D96,18.38706140484671,-24.295149388861926
D97,18.280932736437194,-22.331769023285943
D98,18.174804068027683,-19.78468098145764
D99,18.121739733822928,-16.813078265991283
D100,18.121739733822928,-13.523089545296394
D101,18.068675399618165,-9.596328814144421
D102,22.366886470203426,-9.75552181675869
D103,26.432531979046658,-9.767107777806872
D104,30.167343598302605,-8.48197779584454
D105,17.328763194464578,-7.014604758522726
D106,16.742067044499255,-4.55521706469257
D107,13.770464329032903,-4.236831059464031
D108,19.448348088941827,-1.9020003544547528
D109,19.395283754737072,0.9634736926020864
D110,19.289155086327558,3.510561734430393
D111,16.10529503404218,3.6697547370446593
D112,12.65611331073302,3.7228190712494182
D113,11.64789096084265,5.314749097392106
D114,19.624984921580435,7.656648224759117
D115,22.296843363138876,6.708569422915799
D116,25.270363241647466,5.501923675115211
D117,28.631733539091957,3.7781440354000884
D118,16.651465043071845,9.208049900502727
D119,19.883551867537705,10.199223193338923
D120,20.271402286473606,12.74179816191873
D121,20.486874741437997,15.198184148512784
D122,20.702347196402386,17.95623157205698
D123,20.702347196402386,21.015940432551325
T0,D0,D3
T1,Q1,D0
T2,D3,D1
T3,D1,D2
T4,D1,M69
T5,D2,D4
T6,D4,D5
T7,D5,M9
T8,D5,D6
T9,D6,D7
T10,D7,M10
T11,D4,D8
T12,D8,M58
T13,D8,D9
T14,D9,D10
T15,D9,D11
T16,D11,D12
T17,D12,M25
T18,D11,D13
T19,D13,M8
T20,D13,M0
T23,D13,D14
T24,D14,D15
T25,D15,D16
T26,D15,M78
T27,D16,D17
T28,D17,M40
T29,D17,M56
T30,D16,D18
T31,D18,D24
T32,D24,D25
T34,D24,D24
T35,D24,M71
T36,D24,M3
T37,D18,D19
T38,D19,D20
T39,D20,D21
T40,D21,D22
T41,D22,D23
T42,D23,M88
T43,D23,M63
T44,D21,M90
T45,D21,M1
T46,D19,M2
T47,D25,D26
T48,D26,M41
T49,D26,D27
T50,D27,D28
T51,D28,M42
T52,D25,D29
T53,D29,D30
T54,D30,D31
T55,D31,D31
T56,M17,D31
T57,D31,M17
T58,D29,M62
T59,D30,D30
T60,D30,D32
T61,D32,D32
T62,D32,M80
T63,D32,D33
T64,D33,D37
T65,D37,M19
T66,D37,M79
T67,D37,D38
T68,D38,D39
T69,D39,M92
T70,D39,M89
T71,D33,D34
T72,D34,D35
T73,D35,D36
T74,D36,M43
T75,D10,M11
T76,D0,D40
T77,D40,M52
T78,D40,M68
T79,D40,D41
T80,D41,D42
T81,D42,M27
T82,D42,D42
T83,D42,D43
T84,D43,D44
T85,D44,D45
T86,D44,D44
T87,D44,M26
T88,D44,M94
T89,D45,D46
T90,D45,D47
T91,D47,D48
T92,D48,M76
T93,D48,M93
T94,D46,M24
T95,D0,D49
T96,D49,D50
T97,D49,M91
T98,D50,D51
T99,D51,M23
T100,D51,M21
T101,D51,D52
T102,D52,D53
T103,D53,D54
T104,D54,M57
T105,D54,M20
T106,D54,D55
T107,D55,D58
T108,D58,D59
T109,D58,M77
T110,D59,D60
T111,D60,D61
T112,D61,D62
T113,D61,M60
T114,D62,D63
T115,D63,M45
T116,D63,M72
T117,D43,D56
T118,D56,D57
T119,D56,M61
T120,D57,D64
T121,D64,D65
T122,D64,M47
T123,D64,M46
T124,D65,D66
T125,D66,D67
T126,D66,M44
T127,D67,D68
T128,D68,D69
T129,D69,D71
T130,D71,M70
T131,D71,M83
T132,D71,D72
