T48,D8,M41
T49,D9,D10
T50,D10,D13
T51,D13,M71
T52,D10,D11
T53,D11,M42
T54,D11,D12
T55,D12,D14
T56,D14,D15
T57,D11,M40
T58,D15,M56
T59,D15,D16
T60,D16,D17
T61,D17,D18
T62,D18,D19
T63,D18,M78
T64,D18,M11
T65,D19,D20
T66,D20,D21
T67,D20,M10
T68,D20,M8
T69,D21,D24
T70,D24,M25
T71,D24,M0
T72,D21,D22
T73,D22,M58
T74,D22,M9
T75,D22,D23
T76,D23,D25
T77,D25,M69
T78,D23,D26
T79,D26,D27
T80,D27,D28
T81,D28,M27
T82,D26,M68
T83,Q1,D72
T84,D72,D73
T85,D73,D74
T86,D73,M54
T87,D74,D75
T88,D75,D76
T89,D75,M75
T90,D76,D77
T91,D77,D78
T92,D78,D79
T93,D78,M50
T94,D79,D80
T95,D80,D81
T96,D81,D82
T97,D81,M5
T98,D82,D95
T99,D95,D95
T100,D95,M7
T101,D82,D83
T102,D83,D83
T103,D83,D84
T104,D84,D85
T105,D84,M81
T106,D85,D86
T107,D86,M64
T108,D86,M48
T109,D86,D87
T110,D87,D88
T111,D88,D89
T112,D89,M37
T113,D88,D90
T114,D90,D91
T115,D90,M55
T116,D91,D92
T117,D92,D93
T118,D93,D94
T119,D94,M95
T120,D92,M15
T121,D82,D96
T122,D96,D97
T123,D97,D98
T124,D98,D99
T125,D96,M4
T126,D98,M6
T127,D99,D100
T128,D100,D100
T129,D100,M86
T130,D100,M87
T131,D100,D101
T132,D101,D102
T133,D102,M59
T134,D102,M29
T135,D102,D103
T136,D103,D104
T137,D104,M31
T138,D97,D105
T139,D105,D106
T140,D105,M74
T141,D106,D107
T142,D107,M39
T143,D106,D106
T144,D106,D108
T145,D108,D109
T146,D108,M66
T147,D109,D110
T148,D110,D111
T149,D110,M28
T150,D110,M67
T151,D111,D112
T152,D112,M72
T153,D112,M38
T154,D111,D113
T155,D113,D114
T156,D113,M60
T157,D114,D115
T158,D115,D116
T159,D115,M30
T160,D115,M49
T161,D116,D117
T162,D117,D118
T163,D118,D119
T164,D119,M22
T165,D117,M53
T166,D116,D120
T167,D120,D121
T168,D121,M77
T169,D120,D122
T170,D122,D123
T171,D122,M84
T172,D122,M20
T173,D123,D124
T174,D124,D125
T175,D125,M21
T176,D125,M23
T178,D129,D127
T179,D127,M91
T180,D128,M57
T181,D141,D128
T182,D128,D129
T183,D129,M52
T184,D0,D50
T185,D50,D51
T186,D51,M34
T187,D51,D52
T188,D52,D53
T189,D53,D54
T190,D54,D55
T191,D55,D58
T192,D58,M51
T193,D54,M33
T194,D54,M32
T195,D55,D56
T196,D56,D57
T197,D56,M18
T198,D57,D59
T199,D59,M82
T200,D58,M73
T201,D59,D60
T202,D60,D62
T203,D62,D63
T204,D60,D61
T205,D61,M16
T206,D62,M14
T207,D63,D64
T208,D64,D65
T209,D65,M12
T210,D65,M13
T211,D65,D66
D130,-12.514600175800208,4.457158867258503
D131,-10.110928928351225,3.3939965847329923
D132,-18.061533823759397,-0.3039591805731341
D133,2.1847739912916566,-9.317726358506821
D134,0.28957166157226766,-8.531910758379272
D135,-5.596710210000072,-4.34718505144205
D136,-5.442259774652232,-6.63670842865988
D137,-5.396035327585906,-8.624359652511924
D138,-7.013890974907337,-9.271501911440495
D139,-9.28700132667365,-10.07237574861863
D140,-11.675051862771106,-9.506784832174496
D141,-14.132455823121635,-8.531910758379272
D142,-14.317353611386942,-5.850892828532327
D143,-11.682560128606324,-3.400997134017018
T212,D66,D68
T213,D68,D68
T214,D68,D69
T215,D69,M36
T216,D68,D71
T217,D71,D135
T218,D135,D136
T219,D136,D137
T220,D137,D138
T221,D138,D139
T222,D139,D140
T223,D140,D141
T224,D141,D142
T225,D142,D143
T226,D143,M24
T227,D143,M93
T228,D24,D130
T229,D130,D131
T230,D131,M76
T231,D27,D132
T232,D132,M26
T233,D71,M85
T234,D71,M70
T235,D136,M44
T236,D136,M46
T237,D138,M47
T238,D140,M94
T239,D140,M61
T240,D112,D133
T241,D133,D134
T242,D134,M45
R0,54,0
